frame,ball_x,ball_y,player11_x1,player11_y1,player11_x2,player11_y2,player12_x1,player12_y1,player12_x2,player12_y2,player21_x1,player21_y1,player21_x2,player21_y2,player22_x1,player22_y1,player22_x2,player22_y2,shot_made,shot_player,shot_type
127,966.0,178.0,828.2,116.9,876.2,220.2,1242.1,104.4,1306.3,188.0,483.3,648.8,683.6,827.1,1240.1,447.6,1383.3,637.6,False,,
128,932.0,196.0,824.8,116.0,875.1,217.7,1240.9,104.4,1307.4,187.4,464.1,645.7,682.5,827.0,1241.1,443.6,1380.5,636.8,False,,
129,905.0,214.0,821.3,114.0,874.8,216.6,1241.0,104.5,1307.8,187.0,442.4,643.2,677.2,821.1,1241.0,440.2,1378.3,636.7,False,,
130,878.0,232.0,818.5,113.1,873.8,214.9,1241.5,103.9,1307.3,187.6,423.4,640.9,653.0,803.2,1238.3,436.3,1374.3,636.4,False,,
131,851.0,250.0,818.8,112.4,871.7,210.9,1242.1,104.8,1306.5,187.8,409.6,638.6,637.9,794.0,1234.2,433.2,1375.5,636.2,False,,
132,824.0,268.0,818.9,110.8,869.0,208.7,1241.4,105.2,1305.9,187.5,404.1,636.5,628.9,790.8,1230.0,430.2,1374.0,636.4,False,,
133,797.0,286.0,818.1,109.9,866.0,207.4,1241.1,104.8,1305.1,186.8,398.8,632.5,608.4,787.4,1226.8,426.4,1371.4,636.6,False,,
134,770.0,304.0,816.6,107.8,863.9,206.2,1239.1,104.0,1304.1,186.2,390.1,627.1,579.6,784.8,1224.8,423.1,1363.4,636.5,False,,
135,739.0,331.0,814.1,107.0,862.0,205.4,1237.7,103.3,1305.1,185.2,382.5,619.2,536.5,783.6,1223.8,420.9,1360.4,634.1,False,,
136,711.0,356.0,813.5,107.1,860.3,204.1,1237.5,103.2,1305.1,184.5,375.5,610.3,520.0,783.2,1223.2,417.4,1352.0,630.1,False,,
137,682.0,386.0,811.4,107.7,857.8,202.9,1236.0,102.2,1301.8,182.9,,,,,1223.3,414.2,1344.9,621.7,False,,
138,653.0,417.0,808.7,107.4,856.2,199.9,,,,,362.1,592.4,504.1,782.3,1224.5,410.8,1338.9,613.8,False,,
139,623.0,450.0,805.2,107.4,855.4,197.4,1233.0,96.2,1278.4,172.8,355.6,584.7,495.6,782.2,1225.3,407.6,1334.1,602.9,False,,
140,598.0,481.0,804.8,105.0,854.8,194.7,1227.7,92.6,1273.0,169.7,350.1,578.4,480.1,779.9,1225.8,404.4,1332.2,592.0,False,,
